,location,infection_rate,death_rate,vaccines_offered,date
685,Afghanistan,0.0039759 ,0.0001851 ,4903368 ,2022/1/9
687,Afghanistan,0.0039781 ,0.0001851 ,4925111 ,2022/1/11
689,Afghanistan,0.0039814 ,0.0001852 ,4954809 ,2022/1/13
693,Afghanistan,0.0039871 ,0.0001853 ,4985047 ,2022/1/17
695,Afghanistan,0.0039932 ,0.0001854 ,5004050 ,2022/1/19
700,Afghanistan,0.0040139 ,0.0001856 ,5046054 ,2022/1/24
702,Afghanistan,0.0040339 ,0.0001858 ,5074196 ,2022/1/26
703,Afghanistan,0.0040417 ,0.0001858 ,5081064 ,2022/1/27
707,Afghanistan,0.0040900 ,0.0001861 ,5125146 ,2022/1/31
709,Afghanistan,0.0041217 ,0.0001862 ,5152297 ,2022/2/2
714,Afghanistan,0.0041903 ,0.0001868 ,5216998 ,2022/2/7
721,Afghanistan,0.0042988 ,0.0001883 ,5321308 ,2022/2/14
727,Afghanistan,0.0043229 ,0.0001893 ,5412309 ,2022/2/20
734,Afghanistan,0.0043528 ,0.0001906 ,5535254 ,2022/2/27
741,Afghanistan,0.0043826 ,0.0001914 ,5597130 ,2022/3/6
752,Afghanistan,0.0044412 ,0.0001921 ,5731146 ,2022/3/17
757,Afghanistan,0.0044497 ,0.0001922 ,5751015 ,2022/3/22
770,Afghanistan,0.0044658 ,0.0001926 ,5872684 ,2022/4/4
780,Afghanistan,0.0044772 ,0.0001927 ,5940400 ,2022/4/14
1471,Africa,0.0071495 ,0.0001666 ,304988068 ,2022/1/2
1472,Africa,0.0071695 ,0.0001668 ,305434402 ,2022/1/3
1473,Africa,0.0072118 ,0.0001670 ,310849061 ,2022/1/4
1474,Africa,0.0072521 ,0.0001673 ,311380299 ,2022/1/5
1475,Africa,0.0072940 ,0.0001678 ,315375806 ,2022/1/6
1476,Africa,0.0073293 ,0.0001681 ,316038141 ,2022/1/7
1477,Africa,0.0073602 ,0.0001683 ,317821675 ,2022/1/8
1478,Africa,0.0073811 ,0.0001685 ,319779381 ,2022/1/9
1479,Africa,0.0074041 ,0.0001687 ,323101077 ,2022/1/10
1480,Africa,0.0074321 ,0.0001689 ,323428828 ,2022/1/11
1481,Africa,0.0074611 ,0.0001693 ,324355369 ,2022/1/12
1482,Africa,0.0074951 ,0.0001695 ,325896725 ,2022/1/13
1483,Africa,0.0075244 ,0.0001697 ,327127317 ,2022/1/14
1484,Africa,0.0075513 ,0.0001700 ,329737296 ,2022/1/15
1485,Africa,0.0075640 ,0.0001702 ,330821449 ,2022/1/16
1486,Africa,0.0075860 ,0.0001705 ,333282869 ,2022/1/17
1487,Africa,0.0076056 ,0.0001707 ,335126689 ,2022/1/18
1488,Africa,0.0076313 ,0.0001709 ,337304193 ,2022/1/19
1489,Africa,0.0076672 ,0.0001713 ,337689265 ,2022/1/20
1490,Africa,0.0076944 ,0.0001715 ,343552942 ,2022/1/21
1491,Africa,0.0077243 ,0.0001718 ,344787406 ,2022/1/22
1492,Africa,0.0077363 ,0.0001720 ,346784249 ,2022/1/23
1493,Africa,0.0077559 ,0.0001725 ,348184841 ,2022/1/24
1494,Africa,0.0077968 ,0.0001725 ,348467223 ,2022/1/25
1495,Africa,0.0078212 ,0.0001728 ,349394159 ,2022/1/26
1496,Africa,0.0078485 ,0.0001731 ,350318364 ,2022/1/27
1497,Africa,0.0078693 ,0.0001733 ,351871972 ,2022/1/28
1498,Africa,0.0078933 ,0.0001736 ,353137943 ,2022/1/29
