CountryName,CountryCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341
Afghanistan,AFG,34,34,34,34,34,34,1,1,1,1,1,1,1,40,72,72,72,72,72,72,72,72,73,73,45,74,74,75,75,75,75,75,75,75,75,50,75,75,56,61,66,72,72,72,75,129,147,165,183,201,201,201,201,201,201,75,201,201,201,222,243,265,286,307,328,349,75,349,75,75,75,75,93,111,349,349,349,317,284,252,219,186,154,121,121,349,121,127,132,137,143,156,170,163,148,134,349,119,128,349,349,349,349,349,349,128,64,69,73,78,82,121,155,189,223,258,129,292,326,326,329,333,336,340,343,358,373,133,384,132,132,132,108,85,66,354,183,187,241,281,322,360,398,436,474,446,325,417,389,372,355,338,279,238,196,154,112,296,70,28,266,226,198,171,175,179,28,28,28,28,28,28,28,28,28,28,28,28,28,278,528,777,1027,1277,1527,1776,1776,1776,28,1776,1776,28,28,28,28,28,28,1569,326,326,326,326,326,326,326,326,326,326,1362,326,326,326,326,326,326,326,326,326,326,1155,326,948,741,533,326,326,326,425,418,394,384,374,338,302,266,254,249,230,434,207,210,213,216,219,235,252,246,255,265,442,274,284,442,442,442,442,442,442,282,346,353,360,367,374,375,376,377,378,379,280,380,389,398,407,415,424,432,441,410,302,309,316,323,329,334,339,378,270,282,294,306,306,306,306,306,276,247,347,218,188,159,149,138,158,177,196,216,235,316,235,235,284,253,222,234,246,258,235,179,170,170,170,170,153,137,120,103,1,235,1,1,1,1,1,235,235,226,216,207,198,189
Albania,ALB,310,363,352,348,357,367,4,8,12,16,21,25,29,376,289,298,307,363,418,474,529,584,682,780,357,831,882,932,1008,1025,1144,1140,1084,1628,2508,338,3363,4219,323,312,302,292,281,285,4779,3546,3445,3024,2965,3007,3080,3180,3383,3517,3898,5482,3420,3940,3904,3815,3740,3552,3117,3324,3061,3493,6038,4254,5713,5373,5085,4651,4330,3888,4672,4747,4233,3784,3288,3363,3256,3539,3338,3304,3239,5043,3252,2761,2510,2260,2240,2392,2545,2750,2714,2739,5414,2764,2552,5994,6114,5916,5409,5109,4686,2152,1777,1949,1990,1880,1932,1911,1873,1968,1912,1986,1733,2212,2363,2635,2916,2996,2949,2901,2854,2655,2689,1406,2743,1375,1345,1314,1354,1474,1627,2566,1809,1703,1748,1770,1881,2029,2163,2274,2315,2320,2659,2325,2583,2868,2954,3082,3451,3636,3821,3683,3480,2579,3550,3472,2498,2518,2216,1871,1831,1743,3198,2914,3021,3085,3215,3130,3045,3016,2989,2940,2891,3170,2774,2872,2763,2783,2787,2803,2868,3092,3134,3381,3101,3547,3776,2978,2897,2710,2671,2828,2851,3958,3970,3910,3588,3527,3206,2900,2665,2519,2330,2403,4177,2359,2361,2409,2519,2651,2769,2887,2861,2904,2907,4065,2871,4137,4209,4037,4043,4080,3953,2034,2989,3155,2866,2630,2394,2159,2119,2080,1904,1904,2014,1904,1904,1904,1904,1904,1904,1904,1904,1904,1904,1993,1904,3848,1973,2252,2478,2704,2930,2959,5792,1454,1425,1395,1366,1307,1315,1304,1250,1196,1142,5734,1088,1025,966,927,930,934,937,941,954,5677,5619,5562,5504,3544,1513,1484,967,823,768,714,660,605,619,596,573,597,621,954,645,669,634,634,634,628,621,615,608,602,940,615,629,926,913,899,872,838,830,627,684,684,665,647,628,613,599,584,569,535,624,501,1,1,1,1,622,619,654,670,685,685,685
Andorra,AND,776,737,724,711,814,931,711,646,569,504,440,362,362,1034,3413,4486,5559,6632,7705,8778,8002,7227,6373,5533,1151,4615,3710,2805,2741,2676,2611,2547,2547,2547,2547,1254,2547,2547,1332,1396,1396,1396,1396,2405,2547,8390,8584,7007,8390,9760,11144,12527,13897,15280,13574,2547,12191,10795,9411,8028,6632,5249,3852,3413,2960,2508,2547,2055,2547,7408,7601,7795,8002,8196,1603,5081,4538,3995,3452,2896,2353,1810,1267,1551,1849,1151,2146,2443,2741,3025,3322,3322,3322,3322,3322,3322,698,3322,3322,1319,1952,2573,3206,3827,4460,4318,13483,14569,15642,16715,17788,18461,19120,19792,20451,21124,5300,21783,22455,20581,18706,16845,14970,13096,11221,9347,8235,6296,7123,7291,8274,9269,10264,11337,12410,6011,1564,1564,1564,4589,7614,10652,13677,16715,19740,22778,4900,20089,17401,14712,12023,9321,6632,3943,3943,3943,3943,3788,3943,3943,2676,1564,1564,1564,1564,1564,3943,4925,4925,4925,4925,4925,4925,4783,4641,4499,4357,4085,4214,4072,3930,3930,3930,3930,3930,3930,3930,3930,4227,3775,3620,4370,4512,4654,4796,4925,4925,3452,2818,2818,2818,2818,2818,2818,2818,2818,2818,2818,3297,2818,2818,2818,2818,2818,2818,2818,2598,2366,2133,3141,1900,2986,2818,2818,2818,2818,2818,9799,11182,11182,11182,11182,11182,11182,11182,10846,10510,10174,11182,9825,9489,9153,8817,7782,6761,5740,4706,3684,2663,11182,1629,1629,11182,11182,11182,11182,11182,11182,1629,1189,1073,957,840,3064,5287,7498,9722,11932,14156,1629,16366,14091,11816,9541,7265,4990,2715,440,440,1629,1629,1629,1629,1525,1409,1293,440,440,440,440,440,401,362,323,284,246,207,440,181,181,181,181,181,181,181,181,168,155,440,142,129,440,440,440,440,440,440,129,103,1,1,1,1,1,1,1,1,1,116,1,1,1,1,1,103,103,103,103,103,103,103
Argentina,ARG,1138,1355,1405,1448,1402,1358,374,412,442,447,449,462,450,1380,2107,2341,2498,2471,2463,2573,2629,2552,2402,2291,1344,2305,2338,2167,2082,1762,1650,1548,1561,1565,1681,1274,1858,2289,1376,1470,1586,1604,1692,1817,2332,3809,3808,3858,3833,3624,3358,2993,2845,2756,2470,2253,2271,2278,2363,2585,2731,2823,3079,3176,3129,3060,2314,2811,2400,2544,2641,2840,3212,3751,2586,3507,3220,3071,3038,3010,3075,3229,3370,3551,3458,2557,3428,3367,3384,3314,3005,2583,2538,2496,2712,3109,2565,3371,4031,2810,3080,3225,3508,3677,3610,4818,7461,7332,6888,6466,6105,5754,5486,5422,5523,5672,5307,5724,5510,5605,5530,5499,5429,5690,5931,6568,6839,5872,7192,6379,6691,6968,7137,7309,7507,7591,7914,7817,7746,7673,7655,7622,7931,7902,7910,8009,7713,8181,8248,8207,8054,7789,7681,7647,7583,7708,7828,7777,7889,8005,7841,7956,8089,8177,8110,7928,8110,7711,7696,7577,7586,7517,7520,6894,7111,7181,7287,8139,7347,7350,7374,8054,8083,8056,8108,8206,8164,8160,8076,8189,8223,7942,7959,7918,7929,7911,7829,8314,7862,7557,6972,6537,5962,5826,5712,5775,5845,6245,8331,6381,6474,6468,6312,5995,5704,5549,5351,5324,5094,8228,5173,8393,8480,8554,8565,8309,8151,6147,9854,9700,9563,9314,8848,8590,8496,8203,7912,7559,6304,7303,7153,7109,7062,6896,6710,6577,6481,6403,6354,6481,6284,6255,6563,6707,7081,8757,9588,9777,6237,5232,4978,4941,4897,4720,4549,4284,4109,4029,3918,6150,3845,3762,3721,3689,3564,3536,3489,3430,2935,5921,5844,5773,5757,5535,5317,5267,2436,2283,2292,2287,2203,2056,2125,2123,2116,2098,2130,2213,2141,2175,2117,2107,1826,1789,1733,1703,1670,1630,2074,1555,1778,1821,1777,1838,2175,2362,2317,1705,1150,1110,1082,1097,979,810,792,777,841,925,1626,1017,1226,1464,1509,1,1603,1507,1435,1339,1222,1154,1161
Australia,AUS,134,215,228,233,206,192,1,1,1,1,1,1,1,217,355,350,456,450,434,485,528,560,585,524,245,522,649,721,858,1010,1215,1400,1481,1439,1579,246,1728,1861,268,260,274,287,294,317,2013,1791,1850,2103,2079,2011,1900,1860,1830,2262,2319,1782,2340,2362,2410,2435,2422,1944,1751,1725,1809,1795,1767,1777,1676,1426,1385,1395,1406,1722,1773,2322,2305,2334,2360,2377,2409,2420,2477,2584,2642,1790,2727,2606,2729,2969,2810,2861,2963,3095,3467,3496,1926,3365,3723,2032,2001,2077,2176,2217,2230,3912,4734,4370,4296,4381,4029,4091,4053,3987,4293,4233,4077,4008,4366,4304,4320,4304,4244,4267,4343,4328,4350,4181,4118,4290,4451,4613,4660,4672,4681,4378,4956,4973,5035,5087,5200,5283,5382,5404,5425,5542,4571,5567,5705,5796,5916,6007,6075,6144,6244,6400,6493,4705,6639,6669,4716,4766,4847,5139,4980,4925,6705,7899,8123,8288,8526,8574,8612,8951,8990,9241,9423,6758,9594,9766,10015,10072,10254,10396,10417,10449,10585,10689,6912,10619,10774,6909,7102,7242,7417,7480,7638,10751,10122,10024,10038,10493,10535,10504,10411,10603,10776,10994,10719,10884,11047,11221,11472,11323,11280,11129,11031,11030,10872,10696,10835,10657,10503,10401,10179,10073,10171,3045,8652,9285,9748,10154,10556,10705,10790,11010,10978,10901,3126,10932,10911,10913,10945,10906,10910,9531,9266,9113,9013,3200,8847,8507,4169,4795,5417,6540,7099,7303,8201,7174,6928,6820,6704,6432,6103,5783,5502,5240,5122,9231,5077,4933,4777,4599,4449,4263,4150,4092,3878,8951,8621,8372,8260,8019,7762,7460,3645,2849,2936,3051,3116,3093,3130,3143,3135,3095,3087,3437,3097,3169,3095,2977,2907,2827,2769,2735,2652,2547,3231,2487,2381,3060,2974,2930,2795,2791,2812,2240,1496,1510,1489,1455,1431,1192,1115,1057,787,745,2128,716,680,848,900,1,2071,1956,1864,1779,1694,1624,1533
Austria,AUT,1860,1916,1972,2028,2122,2216,1333,1443,1554,1597,1640,1683,1727,2310,3696,3898,4100,4055,4009,3964,3919,3873,3828,3782,2404,3806,3829,3852,3876,3899,3922,3946,3891,3836,3781,2498,3727,3672,2592,2686,2888,3090,3292,3494,3617,5664,5712,5759,5807,5854,5902,5949,5899,5849,5798,3562,5748,5698,5647,5597,5610,5623,5636,5649,5662,5675,3856,5688,4149,4443,4736,5030,5323,5617,5903,7006,6945,6884,6822,6761,7026,7291,7556,7821,8086,6117,8351,8616,8497,8379,8261,8143,8025,7906,7788,7993,6332,8198,8402,6546,6761,6975,7190,7129,7067,8607,9941,10061,9972,9884,9795,9707,9618,9530,9441,9484,8811,9528,9571,9615,9658,9701,9744,9761,9778,9795,9812,9016,9829,9221,9341,9461,9581,9701,9821,9846,7731,7560,7389,7219,7048,6877,6706,6589,6472,6355,9863,6238,6121,6003,5886,5744,5602,5460,5317,5175,5033,9583,4891,4794,9302,9022,8742,8462,8182,7901,4697,3452,3263,3073,2883,2813,2744,2675,2606,2537,2467,4600,2398,2278,2157,2037,1916,1796,1675,1555,1537,1519,4503,1502,1484,4406,4309,4212,4022,3832,3642,1466,1445,1480,1516,1551,1586,1622,1657,1692,1702,1711,1449,1721,1730,1739,1749,1758,1761,1763,1766,1768,1771,1431,1773,1433,1435,1437,1439,1441,1443,3811,4936,5020,5105,5190,5274,5069,4863,4657,4452,4246,3956,4040,3835,3734,3633,3532,3431,3331,3230,3129,3133,4101,3137,3142,4247,4392,4537,4682,4766,4851,3146,1867,1651,1550,1448,1346,1245,1143,1041,940,900,3150,860,819,779,739,699,659,645,630,616,3154,3159,2943,2728,2513,2297,2082,602,456,438,428,418,408,398,387,377,367,369,588,371,373,375,377,379,381,377,373,369,365,573,361,357,559,542,525,507,490,473,353,320,313,306,299,292,285,262,239,216,192,350,169,146,123,1,1,348,345,342,340,337,335,327
Azerbaijan,AZE,971,971,971,971,971,971,318,318,318,318,411,505,598,971,1276,1218,1144,1061,934,829,724,552,505,474,1140,452,471,468,465,462,459,456,1194,1935,2676,1308,3417,4158,1342,1376,1410,1444,1478,1344,4899,3196,3205,3203,3212,3038,2827,2621,2396,2240,2239,5291,1957,1728,1540,1356,1222,1201,1206,1230,1247,1252,4985,1283,4500,3697,3371,3173,2978,3112,1296,2249,2370,2255,2161,1882,1616,1504,1779,1799,1897,1308,2001,2280,2573,2682,2407,2609,2693,3007,3415,3445,1439,3715,3719,1343,1537,1709,1938,2188,2382,4071,3409,3302,3211,3202,3198,3213,2997,3016,2989,2932,4347,2992,2991,3021,3368,3752,4230,4765,5016,5022,5446,4348,6021,4144,4262,4099,4102,3824,3602,6299,4594,4404,4401,4246,4057,3893,3743,3553,3485,3484,6317,3138,2765,2421,2557,2704,2886,2885,3472,4404,5342,6242,5856,6363,6209,6211,6054,5581,5128,4819,6664,5011,4973,4982,5034,5150,5254,5250,5424,5442,5358,6670,5231,5182,5256,5257,5358,5625,5988,6264,6716,7230,6806,7243,7770,6615,6327,5943,5567,5275,5270,8051,5552,5271,5235,5238,5216,5269,5251,5170,5146,5123,8250,5119,5072,5045,5076,5096,5224,5218,5212,5238,5297,8411,5382,8154,7650,7648,7007,6391,5876,1993,2125,2580,2636,2586,2532,2472,2427,2427,2383,2336,1847,2292,2020,1995,1981,1981,2010,2044,2082,2396,2512,1701,2612,2612,1267,1229,1248,1301,1752,2125,2706,3282,3365,3466,3854,3632,4028,4487,5184,4967,4718,2794,4465,4822,4186,3465,2529,2529,2529,2529,2529,2918,2981,3008,2818,3044,3111,3217,2529,1682,1633,1580,1453,1454,1534,1779,1648,1588,1517,2529,1464,1463,1149,1001,866,705,563,523,525,789,2529,924,1032,2529,2529,2529,2168,2041,1681,1105,807,807,773,744,718,693,663,642,692,606,1174,580,555,524,493,452,1197,1195,1098,1009,938,894,855
Bahrain,BHR,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411,4411,2820,2397,1923,2297,3374,4443,5392,6500,7642,8531,4411,8619,8338,8201,8134,7945,7683,7408,6855,6740,6525,4411,6167,5854,4411,4411,4411,4058,3633,3178,5492,11533,11365,11210,10871,10534,10414,10070,9477,9888,10081,5321,10554,10519,9913,9343,9283,8437,7819,7210,6446,6091,6040,6403,6673,7336,8235,9275,10269,11169,6340,9117,9343,9439,8656,8245,8057,7925,7769,7416,6974,6811,7436,7942,8436,8755,9130,9342,9701,10148,10339,10229,7376,10361,10708,7764,8346,9028,9143,9117,9142,10980,6610,5875,5712,5322,4984,4535,4208,3875,3994,3993,11193,4225,4592,5135,5536,6211,6887,7093,6918,12585,12119,10884,11723,10865,10531,9770,8648,7704,6906,11032,3821,3765,3847,4044,4059,4213,4091,3973,3944,3612,10131,3253,2982,2653,2653,2542,2700,2750,2873,2874,2782,9844,2852,3192,9739,3614,3494,3595,3678,3796,3288,4374,4636,4577,4495,4495,4265,4122,3752,3100,2510,3604,2321,2087,2009,2202,2281,2425,2652,2651,2709,2639,4154,2332,2222,4417,4914,4904,4735,4739,4618,2184,1463,1399,1357,1329,1340,1344,1405,1358,1370,1326,2180,1235,1035,1090,1059,1226,1454,1917,2287,2772,3134,2150,3621,2043,1929,1918,1834,1737,1490,4612,3112,3022,2949,2873,2858,2797,2569,2577,2482,2295,4070,2095,1957,1798,1908,1702,2082,2053,1999,2061,2125,3849,2051,1992,3601,3447,3268,3149,3143,3303,1476,994,1002,1014,906,860,825,800,800,800,800,1447,800,800,800,800,800,800,800,800,800,1453,1389,1348,1235,1210,1171,1117,800,581,526,472,417,417,417,417,400,384,367,800,350,333,317,300,293,287,280,273,267,260,800,253,253,800,800,800,745,690,635,253,151,151,151,151,151,156,161,166,172,1,253,1,1,1,1,1,253,239,224,209,194,180,165
Bangladesh,BGD,972,933,861,818,775,786,16,18,18,18,18,79,140,788,562,547,570,592,615,551,487,445,403,383,731,363,376,363,352,374,388,395,403,377,350,677,305,259,627,599,570,491,534,578,235,317,440,543,658,773,818,883,949,919,928,213,947,959,970,927,883,914,881,838,801,755,192,703,192,189,180,170,217,267,651,448,418,379,301,273,246,175,182,194,154,525,228,235,242,265,250,225,232,164,155,146,486,129,106,453,440,436,437,437,481,78,32,34,35,28,26,24,22,18,18,18,74,17,16,13,10,14,13,12,10,8,9,70,11,62,53,47,42,46,39,7,3,2,2,1,1,2,2,2,3,3,6,3,3,181,182,183,219,252,310,694,747,6,1214,2170,6,6,5,3,3,3,2384,4454,4706,4886,4945,5104,2783,1990,1841,1703,1691,2621,1657,1524,1628,1954,1980,2133,2246,2357,2468,2344,3119,2353,2349,2909,2853,2466,1589,3897,4484,2131,5209,5472,5647,5760,5680,3339,2672,2446,2220,2186,1900,2251,2361,2605,2797,2833,2870,2994,3072,3032,8340,1833,8396,1765,1867,1776,1808,4178,4946,4989,4989,6188,7387,7435,7482,8763,10200,11995,11339,10560,4989,11104,10956,9573,7883,5834,5540,5623,5141,5352,5563,4989,5927,6290,4989,4989,4989,4989,4989,4989,6151,5759,5759,5759,5759,5759,5759,5759,5759,5759,8298,5759,8119,7941,7762,10566,13370,16174,16439,19422,22404,5759,5759,5759,5759,5759,5759,5759,22600,5341,4797,4253,3962,3306,3411,3604,3276,3174,3079,19812,3425,3749,4159,4451,5433,5483,5526,6033,11150,14503,17024,17134,16403,14237,11449,8661,6296,6041,5660,17224,1632,1585,1411,1288,1128,1129,1131,1004,1177,1232,18045,1286,1,1,1,1,17707,11961,7807,4481,4324,3384,2444
Barbados,BRB,7622,8175,8832,9544,10382,10959,1,1,1,1,1,1,1,10942,2683,2117,1241,1345,1477,1856,2419,2857,3729,4581,10525,4724,4699,4296,4039,3358,2277,1731,1286,970,959,9572,473,469,8519,7372,6027,5314,4105,3239,462,1060,1081,1105,1130,1154,1119,1296,1797,2402,2440,24,2541,2621,2357,1689,1609,1408,1387,1328,1283,1189,21,1161,17,17,14,10,452,1057,9152,7546,7403,6976,6503,6288,5686,5766,5509,5429,5394,9590,5492,5290,5683,5714,5318,4984,4751,4167,4341,4032,10584,3709,3653,11679,13239,14789,15731,8050,7598,3528,2986,2854,2913,2972,3038,3142,3135,3490,3778,3858,3080,4032,3959,3959,3827,3444,3292,3187,3125,3156,2951,2982,2735,2742,2610,2739,2746,2801,2857,2204,792,799,820,1011,1057,1081,1164,1164,1397,1397,1762,1307,1251,1203,1036,935,855,938,1022,879,1317,1693,1491,1491,1241,977,587,591,633,737,1547,3031,3198,3451,3486,3274,2986,2961,2749,2774,2770,1401,2770,3257,3528,3834,4160,4612,4310,4491,4435,4414,1269,4598,4445,1429,1425,1554,1780,2131,2405,4306,3093,3080,3080,2951,3010,2954,2996,3100,3420,3570,4491,3809,4042,4428,4890,5047,5273,5217,5346,5307,5492,4501,5495,4369,4115,3941,3684,3465,3243,674,1015,1091,1137,1349,918,938,1011,998,987,897,695,646,490,504,448,417,441,556,640,671,626,726,615,619,587,455,264,848,904,945,584,528,542,563,556,560,535,511,525,494,459,539,431,410,389,379,344,313,337,355,348,514,532,501,483,466,504,528,365,341,240,264,261,257,261,243,257,285,243,424,226,209,198,198,181,184,295,302,316,302,452,295,302,525,507,501,501,459,393,288,184,170,222,212,195,181,163,149,132,97,195,111,132,156,153,1,188,195,188,191,188,184,184
