"","location","infection_rate","death_rate","vaccines_offered","date"
"1","Afghanistan",0.0039759,0.0001851,4903368,2022-01-09
"2","Afghanistan",0.0039781,0.0001851,4925111,2022-01-11
"3","Afghanistan",0.0039814,0.0001852,4954809,2022-01-13
"4","Afghanistan",0.0039871,0.0001853,4985047,2022-01-17
"5","Afghanistan",0.0039932,0.0001854,5004050,2022-01-19
"6","Afghanistan",0.0040139,0.0001856,5046054,2022-01-24
"7","Afghanistan",0.0040339,0.0001858,5074196,2022-01-26
"8","Afghanistan",0.0040417,0.0001858,5081064,2022-01-27
"9","Afghanistan",0.00409,0.0001861,5125146,2022-01-31
"10","Afghanistan",0.0041217,0.0001862,5152297,2022-02-02
"11","Afghanistan",0.0041903,0.0001868,5216998,2022-02-07
"12","Afghanistan",0.0042988,0.0001883,5321308,2022-02-14
"13","Afghanistan",0.0043229,0.0001893,5412309,2022-02-20
"14","Afghanistan",0.0043528,0.0001906,5535254,2022-02-27
"15","Afghanistan",0.0043826,0.0001914,5597130,2022-03-06
"16","Afghanistan",0.0044412,0.0001921,5731146,2022-03-17
"17","Afghanistan",0.0044497,0.0001922,5751015,2022-03-22
"18","Afghanistan",0.0044658,0.0001926,5872684,2022-04-04
"19","Afghanistan",0.0044772,0.0001927,5940400,2022-04-14
"20","Albania",0.0737995,0.0011222,2356290,2022-01-04
"21","Albania",0.0737995,0.0011222,2367574,2022-01-05
"22","Albania",0.0748033,0.0011253,2398207,2022-01-08
"23","Albania",0.0767463,0.0011281,2410728,2022-01-10
"24","Albania",0.077504,0.0011302,2419734,2022-01-11
"25","Albania",0.0890174,0.0011605,2523683,2022-01-30
"26","Albania",0.0899927,0.0011647,2612804,2022-02-01
"27","Albania",0.0921093,0.0011765,2634377,2022-02-06
"28","Albania",0.0921967,0.0011789,2639523,2022-02-07
"29","Albania",0.0932872,0.0011869,2661838,2022-02-13
"30","Albania",0.0933902,0.0011883,2665804,2022-02-14
"31","Albania",0.0934553,0.0011904,2669695,2022-02-15
"32","Albania",0.0936116,0.0011915,2673183,2022-02-16
"33","Albania",0.0940377,0.0011967,2683715,2022-02-20
"34","Albania",0.0945121,0.0012057,2702638,2022-02-27
"35","Albania",0.094573,0.0012085,2708574,2022-03-01
"36","Albania",0.0947638,0.0012123,2723146,2022-03-07
"37","Albania",0.0948435,0.0012127,2729969,2022-03-10
"38","Albania",0.0949166,0.001213,2735318,2022-03-14
"39","Albania",0.0949242,0.0012134,2737859,2022-03-15
"40","Albania",0.0951143,0.0012144,2754244,2022-03-24
"41","Albania",0.0952089,0.0012155,2762715,2022-03-29
"42","Albania",0.0952605,0.0012155,2766890,2022-03-31
"43","Albania",0.0953426,0.0012155,2773475,2022-04-04
"44","Albania",0.0954105,0.0012155,2780674,2022-04-07
"45","Albania",0.0954491,0.0012158,2787225,2022-04-11
"46","Albania",0.0955038,0.0012165,2793310,2022-04-14
"47","Algeria",0.0049792,0.0001421,12974545,2022-01-09
"48","Algeria",0.005807,0.0001494,13461201,2022-02-08
"49","Algeria",0.0059183,0.0001523,13631683,2022-02-20
"50","Algeria",0.0059472,0.0001538,13704895,2022-03-09
"51","Andorra",0.3863795,0.0018357,135421,2022-01-16
"52","Andorra",0.4269333,0.0018616,140193,2022-01-23
"53","Andorra",0.4731365,0.0019004,141962,2022-02-06
"54","Andorra",0.4801303,0.0019133,142420,2022-02-13
"55","Andorra",0.4859348,0.0019391,151284,2022-02-20
"56","Andorra",0.5015125,0.001965,151997,2022-03-13
"57","Andorra",0.513393,0.0019779,152187,2022-03-27
"58","Andorra",0.5213434,0.0019779,152301,2022-04-10
"59","Angola",0.0025822,0.000053,11797041,2022-01-06
"60","Angola",0.0026302,0.0000536,12099891,2022-01-08
"61","Angola",0.0027084,0.0000543,12377226,2022-01-12
"62","Angola",0.0027495,0.0000546,12690132,2022-01-14
"63","Angola",0.0028462,0.0000556,13944656,2022-01-23
"64","Angola",0.0028888,0.0000558,14588435,2022-01-28
"65","Angola",0.0028959,0.0000558,15039557,2022-02-02
"66","Angola",0.0029013,0.0000559,15505389,2022-02-09
"67","Angola",0.0029043,0.000056,15902065,2022-02-15
"68","Angola",0.0029078,0.000056,16259606,2022-02-22
"69","Angola",0.00291,0.000056,16633167,2022-03-02
"70","Angola",0.0029124,0.000056,16850195,2022-03-08
"71","Angola",0.0029175,0.000056,17262044,2022-03-17
"72","Angola",0.0029205,0.000056,17535411,2022-03-25
"73","Angola",0.0029232,0.000056,18756893,2022-04-01
"74","Anguilla",0.134876,0.0003967,21046,2022-01-14
"75","Anguilla",0.144595,0.0004628,21256,2022-01-21
"76","Anguilla",0.1536529,0.0005289,21449,2022-01-28
"77","Anguilla",0.1560992,0.0005289,21612,2022-02-02
"78","Anguilla",0.1625124,0.000595,21783,2022-02-09
"79","Anguilla",0.1625124,0.000595,21783,2022-02-11
"80","Anguilla",0.165686,0.000595,21994,2022-02-16
"81","Anguilla",0.165686,0.000595,21994,2022-02-18
"82","Anguilla",0.1671405,0.000595,22165,2022-02-25
"83","Anguilla",0.1689256,0.000595,22377,2022-03-02
"84","Anguilla",0.1701818,0.000595,22420,2022-03-09
"85","Anguilla",0.1701818,0.000595,22420,2022-03-11
"86","Anguilla",0.1715702,0.000595,22639,2022-03-18
"87","Anguilla",0.1740826,0.000595,22714,2022-03-23
"88","Anguilla",0.1740826,0.000595,22714,2022-03-25
"89","Anguilla",0.1785124,0.000595,22714,2022-04-01
"90","Anguilla",0.1796364,0.000595,23126,2022-04-08
"91","Antigua and Barbuda",0.0477575,0.0012053,121415,2022-01-06
"92","Antigua and Barbuda",0.0528118,0.0012155,122215,2022-01-13
"93","Antigua and Barbuda",0.06525,0.0012762,123555,2022-01-26
"94","Antigua and Barbuda",0.0681873,0.0012864,123736,2022-02-05
"95","Antigua and Barbuda",0.0749028,0.0013674,124455,2022-02-17
"96","Antigua and Barbuda",0.0753282,0.0013674,124726,2022-02-28
"97","Antigua and Barbuda",0.0754295,0.0013674,125031,2022-03-01
"98","Antigua and Barbuda",0.0756219,0.0013674,125386,2022-03-14
"99","Antigua and Barbuda",0.0758751,0.0013674,125605,2022-03-31
"100","Argentina",0.1248729,0.0025699,78232742,2022-01-02
"101","Argentina",0.1258463,0.0025708,78720412,2022-01-03
"102","Argentina",0.127627,0.0025719,79267987,2022-01-04
"103","Argentina",0.1297136,0.002573,79809730,2022-01-05
"104","Argentina",0.132117,0.0025739,80352696,2022-01-06
"105","Argentina",0.1345406,0.0025748,80919063,2022-01-07
"106","Argentina",0.1367704,0.0025757,81188439,2022-01-08
"107","Argentina",0.138378,0.0025762,81351843,2022-01-09
"108","Argentina",0.1403153,0.0025774,81864161,2022-01-10
"109","Argentina",0.1432632,0.0025785,82362523,2022-01-11
"110","Argentina",0.1461374,0.0025802,82860655,2022-01-12
"111","Argentina",0.1489529,0.0025832,83324583,2022-01-13
"112","Argentina",0.1520194,0.0025852,83742828,2022-01-14
"113","Argentina",0.1541387,0.0025871,83929593,2022-01-15
"114","Argentina",0.1555693,0.0025883,84063023,2022-01-16
"115","Argentina",0.1578159,0.0025925,84481839,2022-01-17
